item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
geo::algorithm::buffer::Buffer,Trait,Missing,,,,,,,
geo::algorithm::buffer::BufferStyle,Struct,Missing,,,,,,,
geo::algorithm::centroid::Centroid,Trait,Missing,,,,,,,
geo::algorithm::chaikin_smoothing::ChaikinSmoothing,Trait,Missing,,,,,,,
geo::algorithm::chamberlain_duquette_area::ChamberlainDuquetteArea,Trait,Missing,,,,,,,
geo::algorithm::closest_point::ClosestPoint,Trait,Missing,,,,,,,
geo::algorithm::concave_hull::ConcaveHull,Trait,Missing,,,,,,,
geo::algorithm::concave_hull::ConcaveHullOptions,Struct,Missing,,,,,,,
geo::algorithm::contains::Contains,Trait,Missing,,,,,,,
geo::algorithm::contains_properly::ContainsProperly,Trait,Missing,,,,,,,
geo::algorithm::convert::Convert,Trait,Missing,,,,,,,
geo::algorithm::convert::TryConvert,Trait,Missing,,,,,,,
geo::algorithm::convert_angle_unit::ToDegrees,Trait,Missing,,,,,,,
geo::algorithm::convert_angle_unit::ToRadians,Trait,Missing,,,,,,,
geo::algorithm::convex_hull::ConvexHull,Trait,Missing,,,,,,,
geo::algorithm::convex_hull::graham::graham_hull,Function,Missing,,,,,,,
geo::algorithm::convex_hull::qhull::quick_hull,Function,Missing,,,,,,,
geo::algorithm::coordinate_position::CoordPos,Enum,Missing,,,,,,,
geo::algorithm::coordinate_position::CoordinatePosition,Trait,Missing,,,,,,,
geo::algorithm::coordinate_position::coord_pos_relative_to_ring,Function,Missing,,,,,,,
geo::algorithm::coords_iter::CoordsIter,Trait,Missing,,,,,,,
geo::algorithm::covers::Covers,Trait,Missing,,,,,,,
geo::algorithm::cross_track_distance::CrossTrackDistance,Trait,Missing,,,,,,,
geo::algorithm::dbscan::Dbscan,Trait,Missing,,,,,,,
geo::algorithm::densify_haversine::DensifyHaversine,Trait,Missing,,,,,,,
geo::algorithm::dimensions::Dimensions,Enum,Missing,,,,,,,
geo::algorithm::dimensions::HasDimensions,Trait,Missing,,,,,,,
geo::algorithm::euclidean_distance::EuclideanDistance,Trait,Missing,,,,,,,
geo::algorithm::euclidean_distance::nearest_neighbour_distance,Function,Missing,,,,,,,
geo::algorithm::euclidean_length::EuclideanLength,Trait,Missing,,,,,,,
geo::algorithm::extremes::Extreme,Struct,Missing,,,,,,,
geo::algorithm::extremes::Extremes,Trait,Missing,,,,,,,
geo::algorithm::extremes::Outcome,Struct,Missing,,,,,,,
geo::algorithm::frechet_distance::FrechetDistance,Trait,Missing,,,,,,,
geo::algorithm::geodesic_area::GeodesicArea,Trait,Missing,,,,,,,
geo::algorithm::geodesic_bearing::GeodesicBearing,Trait,Missing,,,,,,,
geo::algorithm::geodesic_destination::GeodesicDestination,Trait,Missing,,,,,,,
geo::algorithm::geodesic_distance::GeodesicDistance,Trait,Missing,,,,,,,
geo::algorithm::geodesic_intermediate::GeodesicIntermediate,Trait,Missing,,,,,,,
geo::algorithm::geodesic_length::GeodesicLength,Trait,Missing,,,,,,,
geo::algorithm::hausdorff_distance::HausdorffDistance,Trait,Missing,,,,,,,
geo::algorithm::haversine_bearing::HaversineBearing,Trait,Missing,,,,,,,
geo::algorithm::haversine_closest_point::HaversineClosestPoint,Trait,Missing,,,,,,,
geo::algorithm::haversine_destination::HaversineDestination,Trait,Missing,,,,,,,
geo::algorithm::haversine_distance::HaversineDistance,Trait,Missing,,,,,,,
geo::algorithm::haversine_intermediate::HaversineIntermediate,Trait,Missing,,,,,,,
geo::algorithm::haversine_length::HaversineLength,Trait,Missing,,,,,,,
geo::algorithm::indexed::interval_tree_multipolygon::IntervalTreeMultiPolygon,Struct,Missing,,,,,,,
geo::algorithm::indexed::prepared_geometry::PreparedGeometry,Struct,Missing,,,,,,,
geo::algorithm::interior_point::InteriorPoint,Trait,Missing,,,,,,,
geo::algorithm::intersects::Intersects,Trait,Missing,,,,,,,
geo::algorithm::is_convex::IsConvex,Trait,Missing,,,,,,,
geo::algorithm::k_nearest_concave_hull::KNearestConcaveHull,Trait,Missing,,,,,,,
geo::algorithm::kernels::Kernel,Trait,Missing,,,,,,,
geo::algorithm::kernels::Orientation,Enum,Missing,,,,,,,
geo::algorithm::kernels::robust::RobustKernel,Struct,Missing,,,,,,,
geo::algorithm::kernels::simple::SimpleKernel,Struct,Missing,,,,,,,
geo::algorithm::kmeans::KMeans,Trait,Missing,,,,,,,
geo::algorithm::kmeans::KMeansParams,Struct,Missing,,,,,,,
geo::algorithm::kmeans::error::KMeansError,Enum,Missing,,,,,,,
geo::algorithm::kmeans::error::KMeansInitError,Enum,Missing,,,,,,,
geo::algorithm::line_interpolate_point::LineInterpolatePoint,Trait,Missing,,,,,,,
geo::algorithm::line_intersection::LineIntersection,Enum,Missing,,,,,,,
geo::algorithm::line_intersection::line_intersection,Function,Missing,,,,,,,
geo::algorithm::line_locate_point::LineLocatePoint,Trait,Missing,,,,,,,
geo::algorithm::line_measures::bearing::Bearing,Trait,Missing,,,,,,,
geo::algorithm::line_measures::densify::Densifiable,Trait,Missing,,,,,,,
geo::algorithm::line_measures::densify::Densify,Trait,Missing,,,,,,,
geo::algorithm::line_measures::destination::Destination,Trait,Missing,,,,,,,
geo::algorithm::line_measures::distance::Distance,Trait,Missing,,,,,,,
geo::algorithm::line_measures::frechet_distance::FrechetDistance,Trait,Missing,,,,,,,
geo::algorithm::line_measures::interpolate_line::InterpolatableLine,Trait,Missing,,,,,,,
geo::algorithm::line_measures::interpolate_line::InterpolateLine,Trait,Missing,,,,,,,
geo::algorithm::line_measures::interpolate_point::InterpolatePoint,Trait,Missing,,,,,,,
geo::algorithm::line_measures::length::Length,Trait,Missing,,,,,,,
