item_path,item_kind,status,shadow_item,drift_confidence,notes
bevy_asset::server::info::GetOrCreateHandleInternalError,Enum,Missing,,,
bevy_asset::server::info::HandleLoadingMode,Enum,Missing,,,
bevy_asset::server::info::MissingHandleProviderError,Struct,Missing,,,
bevy_asset::server::info::get_path_indices::HandlesByPathIterator,Enum,Missing,,,
bevy_asset::server::loaders::AssetLoaders,Struct,Missing,,,
bevy_asset::server::loaders::GetLoaderError,Enum,Missing,,,
bevy_asset::server::loaders::InstrumentedAssetLoader,Struct,Missing,,,
bevy_asset::server::loaders::MaybeAssetLoader,Enum,Missing,,,
bevy_asset::transformer::IdentityAssetTransformer,Struct,Missing,,,
bevy_asset::transformer::TransformedAsset,Struct,Missing,,,
bevy_asset::transformer::TransformedSubAsset,Struct,Missing,,,
bevy_audio::AudioPlaybackSystems,Struct,Missing,,,
bevy_audio::AudioPlugin,Struct,Missing,,,
bevy_audio::audio::AudioPlayer,Struct,Missing,,,
bevy_audio::audio::DefaultSpatialScale,Struct,Covered,elicit_bevy::audio::DefaultSpatialScale,,
bevy_audio::audio::PlaybackMode,Enum,Covered,elicit_bevy::audio::PlaybackMode,,
bevy_audio::audio::PlaybackSettings,Struct,Covered,elicit_bevy::audio::PlaybackSettings,,
bevy_audio::audio::SpatialListener,Struct,Covered,elicit_bevy::audio::SpatialListener,,
bevy_audio::audio::SpatialScale,Struct,Covered,elicit_bevy::audio::SpatialScale,,
bevy_audio::audio_output::AudioOutput,Struct,Missing,,,
bevy_audio::audio_output::EarPositions,Struct,Missing,,,
bevy_audio::audio_output::PlaybackDespawnMarker,Struct,Missing,,,
bevy_audio::audio_output::PlaybackRemoveMarker,Struct,Missing,,,
bevy_audio::audio_source::AudioLoader,Struct,Missing,,,
bevy_audio::audio_source::AudioSource,Struct,Missing,,,
bevy_audio::pitch::Pitch,Struct,Missing,,,
bevy_audio::sinks::AudioSink,Struct,Missing,,,
bevy_audio::sinks::SpatialAudioSink,Struct,Missing,,,
bevy_audio::volume::GlobalVolume,Struct,Covered,elicit_bevy::audio::GlobalVolume,,
bevy_audio::volume::Volume,Enum,Covered,elicit_bevy::audio::Volume,,
bevy_camera::CameraPlugin,Struct,Missing,,,
bevy_camera::CameraUpdateSystems,Struct,Missing,,,
bevy_camera::camera::Camera,Struct,Covered,elicit_bevy::camera::Camera,,
bevy_camera::camera::CameraMainTextureUsages,Struct,Missing,,,
bevy_camera::camera::CameraOutputMode,Enum,Missing,,,
bevy_camera::camera::ComputedCameraValues,Struct,Missing,,,
bevy_camera::camera::Exposure,Struct,Missing,,,
bevy_camera::camera::ImageRenderTarget,Struct,Missing,,,
bevy_camera::camera::MainPassResolutionOverride,Struct,Missing,,,
bevy_camera::camera::ManualTextureViewHandle,Struct,Missing,,,
bevy_camera::camera::NormalizedRenderTarget,Enum,Missing,,,
bevy_camera::camera::PhysicalCameraParameters,Struct,Covered,elicit_bevy::camera::PhysicalCameraParameters,,
bevy_camera::camera::RenderTarget,Enum,Missing,,,
bevy_camera::camera::RenderTargetInfo,Struct,Missing,,,
bevy_camera::camera::SubCameraView,Struct,Missing,,,
bevy_camera::camera::Viewport,Struct,Missing,,,
bevy_camera::camera::ViewportConversionError,Enum,Missing,,,
bevy_camera::clear_color::ClearColor,Struct,Covered,elicit_bevy::camera::ClearColor,,
bevy_camera::clear_color::ClearColorConfig,Enum,Covered,elicit_bevy::camera::ClearColorConfig,,
bevy_camera::clear_color::MsaaWriteback,Enum,Covered,elicit_bevy::camera::MsaaWriteback,,
bevy_camera::clear_color::_::deserialize::__Field,Enum,Missing,,,
bevy_camera::clear_color::_::deserialize::__Field,Enum,Missing,,,
bevy_camera::clear_color::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_camera::clear_color::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_camera::clear_color::_::deserialize::__Visitor,Struct,Missing,,,
bevy_camera::clear_color::_::deserialize::__Visitor,Struct,Missing,,,
bevy_camera::components::Camera2d,Struct,Covered,elicit_bevy::camera::Camera2d,,
bevy_camera::components::Camera3d,Struct,Covered,elicit_bevy::camera::Camera3d,,
bevy_camera::components::Camera3dDepthLoadOp,Enum,Covered,elicit_bevy::camera::Camera3dDepthLoadOp,,
bevy_camera::components::Camera3dDepthTextureUsage,Struct,Missing,,,
bevy_camera::components::ScreenSpaceTransmissionQuality,Enum,Covered,elicit_bevy::camera::ScreenSpaceTransmissionQuality,,
bevy_camera::components::_::deserialize::__Field,Enum,Missing,,,
bevy_camera::components::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_camera::components::_::deserialize::__Visitor,Struct,Missing,,,
bevy_camera::components::_::deserialize::__Visitor,Struct,Missing,,,
bevy_camera::primitives::Aabb,Struct,Missing,,,
bevy_camera::primitives::CascadesFrusta,Struct,Missing,,,
bevy_camera::primitives::CubemapFrusta,Struct,Missing,,,
bevy_camera::primitives::CubemapLayout,Enum,Missing,,,
bevy_camera::primitives::Frustum,Struct,Missing,,,
